ID;Dateiname;URL;Format;Breite;Hoehe;Dateigroesse_KB;Alt_Text;Verwendung;Qualitaet_Wiederverwendbar;Empfehlung_fuer_Relaunch
2203;Logo1weiss.png;https://bau-mueller.eu/wp-content/uploads/2023/08/Logo1weiss.png;png;800;575;12.1;Handwerks- und Bauprojekt Referenz: Logo1weiß - Zimmerei & Baugeschäft Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2202;Logo1blau.png;https://bau-mueller.eu/wp-content/uploads/2023/08/Logo1blau.png;png;800;575;12.1;Handwerks- und Bauprojekt Referenz: Logo1blau - Zimmerei & Baugeschäft Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
1619;Popup-Help-BG.png;https://bau-mueller.eu/wp-content/uploads/2022/05/Popup-Help-BG.png;png;924;503;0.0;Handwerks- und Bauprojekt Referenz: Popup Help BG.png - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1471;cropped-logomueller-1.png;https://bau-mueller.eu/wp-content/uploads/2022/04/cropped-logomueller-1.png;png;512;384;0.0;Handwerks- und Bauprojekt Referenz: cropped logomueller 1.png - Zimmerei & Baugeschäft Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
1464;cropped-logomueller.png;https://bau-mueller.eu/wp-content/uploads/2022/04/cropped-logomueller.png;png;512;512;0.0;Handwerks- und Bauprojekt Referenz: cropped logomueller.png - Zimmerei & Baugeschäft Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
1463;logomueller.png;https://bau-mueller.eu/wp-content/uploads/2022/04/logomueller.png;png;512;384;0.0;Baugeschäft Müller;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
1458;Wangentreppe-viertelgewendelt-Koltzschen.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Wangentreppe-viertelgewendelt-Koltzschen.jpeg;jpeg;640;427;0.0;Holztreppe und Treppenbau Referenz: Wangentreppe viertelgewendelt, Koltzschen - Zimmerei Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1457;Wangentreppe-viertelgewendelt-Koltzschen-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Wangentreppe-viertelgewendelt-Koltzschen-2.jpeg;jpeg;640;427;0.0;Holztreppe und Treppenbau Referenz: Wangentreppe viertelgewendelt, Koltzschen 2 - Zimmerei Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1455;Bild-85-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-85-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 85 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1454;Bild-84-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-84-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 84 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1453;Bild-83-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-83-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 83 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1452;Bild-82.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-82.jpeg;jpeg;480;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 82 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1451;Bild-81.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-81.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 81 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1450;Bild-80-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-80-1.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 80 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1449;Bild-79-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-79-1.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 79 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1447;Bild-78.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-78.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 78 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1444;Bild-75.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-75.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 75 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1443;Bild-74-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-74-1.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 74 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1442;Bild-73.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-73.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 73 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1441;Bild-69.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-69.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 69 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1440;Bild-68-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-68-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 68 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1439;Bild-62-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-62-1.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 62 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1438;Bild-61-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-61-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 61 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1437;Bild-59-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-59-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 59 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1436;Bild-58.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-58.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 58 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1435;Bild-52-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-52-1.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 52 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1434;Bild-49.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-49.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 49 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1433;Bild-48.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-48.jpeg;jpeg;427;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 48 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1432;Bild-47-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-47-1.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Bild 47 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1431;Bild-45.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-45.jpeg;jpeg;480;640;0.0;Handwerks- und Bauprojekt Referenz: Bild 45 - Zimmerei & Baugeschäft Müller Colditz;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1430;Bild-43-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-43-1.jpeg;jpeg;640;427;0.0;Eine moderne Holztreppe mit weißem Geländer schlängelt sich in einem gut beleuchteten Raum mit beigen Wänden und einer Deckenleuchte nach oben. Der Boden scheint unbearbeitet zu sein, und eine offene Tür führt in einen dunkleren Raum.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1429;Bild-42-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-42-1.jpeg;jpeg;480;640;0.0;Ein Blick vom oberen Ende einer hölzernen Wendeltreppe mit weißem Geländer, die zu einem gefliesten Boden in einem hell erleuchteten, unfertigen Innenraum führt.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1428;Bild-41-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-41-1.jpeg;jpeg;640;427;0.0;Eine kleine Holztreppe mit offenen Setzstufen und weißem Geländer, die an einer Wand in einem im Bau oder in der Renovierung befindlichen Raum angebracht ist. An der angrenzenden Wand sind freiliegende Elektrokästen zu sehen.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1427;Bild-40.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-40.jpeg;jpeg;640;427;0.0;Eine moderne Holztreppe mit offenen Setzstufen und weißen Seitenstützen führt entlang einer hellbeigen Wand nach oben. Im Vordergrund sind ein Teil eines weißen Geländers und eine Trittleiter zu sehen.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1426;Bild-39-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-39-1.jpeg;jpeg;427;640;0.0;Eine Holztreppe mit weißem Geländer und hellbraunen Stufen ist rechtwinklig gebogen und führt vor einer hellen Wand in einem Innenraum nach oben.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1425;Bild-31-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-31-1.jpeg;jpeg;640;427;0.0;Holztreppe mit hellen Stufen und einem Handlauf, von oben gesehen. Die Stufen sind mit weißen Klebebandstreifen versehen, möglicherweise zum Schutz während der Bau- oder Renovierungsarbeiten. Durch ein nahe gelegenes Fenster fällt natürliches Licht ein.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1424;Bild-29-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-29-1.jpeg;jpeg;427;640;0.0;Eine Holztreppe mit Pappstücken, die mit Hier öffnen und Prof Umzugkarton beschriftet sind, die an die Stufen geklebt wurden, wahrscheinlich um sie während der Bauarbeiten oder beim Umzug zu schützen. Ein Geländer verläuft entlang der Treppe.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1423;Bild-20-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-20-2.jpeg;jpeg;640;427;0.0;Ein hölzernes Sicherheitstor und ein Geländer umgeben den oberen Teil einer Treppe in einem Flur mit Holzfußboden und bilden eine sichere Barriere, die den Zugang zur Treppe verhindert.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1422;Bild-16-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-16-2.jpeg;jpeg;640;427;0.0;"Eine Holztreppe führt zu einer Decke, über der sich jedoch keine Öffnung befindet; die Treppe endet abrupt an einer flachen, geschlossenen Deckenplatte. Ein Holzstuhl steht in der Nähe an der Wand.";Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1421;Bild-12-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-12-1.jpeg;jpeg;427;640;0.0;Eine Holztreppe mit schrägen Stufen und einem Geländer aus Massivholz, die in ein anderes Stockwerk führt. Das Holz hat eine helle, natürliche Oberfläche und die Stufen sind stark nach rechts gebogen.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1420;Bild-9-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-9-1.jpeg;jpeg;360;640;0.0;"Eine Holztreppe mit abgeklebten Stufen führt in ein zweites Stockwerk; das Geländer und die Geländer sind aus hellem Holz, und auf dem Boden darunter sind Baumaterialien sichtbar.";Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1419;Bild-8-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-8-1.jpeg;jpeg;640;427;0.0;Blick von oben auf eine schmale, unvollendete Wendeltreppe aus Holz mit Schutzabdeckungen auf jeder Stufe und einem Handlauf auf der linken Seite, die zu einem kleinen Treppenabsatz führt.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1418;Bild-7-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-7-1.jpeg;jpeg;640;427;0.0;Eine Holztreppe mit vertikalem Geländer schlängelt sich vor einer schlichten weißen Wand nach unten. Das Sonnenlicht fällt durch ein nahe gelegenes Fenster und wirft Schatten auf die Stufen und den Boden.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1417;Bild-6-1.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-6-1.jpeg;jpeg;427;640;0.0;Blick von oben auf eine hölzerne Wendeltreppe mit natürlichem Licht aus einem rechteckigen Oberlicht am oberen Ende, das die geometrischen Linien und Muster der Treppe und des Geländers hervorhebt.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1416;Bild-5-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-5-2.jpeg;jpeg;427;640;0.0;Holztreppengeländer mit vertikalen Balustern und einem geschwungenen Handlauf in einem Innenraum in der Nähe eines Flurs mit gefliestem Boden und offenen Türen im Hintergrund.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1415;Bild-4-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-4-2.jpeg;jpeg;427;640;0.0;Eine hölzerne Wendeltreppe, die mit Schutzkarton abgedeckt ist, von oben gesehen. Die weiße Wand neben der Treppe hat oben rechts ein kleines Loch oder eine Beschädigung.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1414;Bild-3-2.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-3-2.jpeg;jpeg;427;640;0.0;Eine Holztreppe mit senkrechten Geländerstäben und hellbraunen Stufen, von der Seite gesehen. Die Wand und der Boden sind hell, und an der Wand ist ein kleiner quadratischer Schalter zu sehen.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1413;Bild-2-3.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Bild-2-3.jpeg;jpeg;427;640;0.0;Eine hölzerne Wendeltreppe mit offenen Setzstufen und vertikalen Geländern, die sich entlang einer hellen Wand in einem modernen Innenraum nach oben schlängelt.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1391;Terrasse-Leipzig.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Terrasse-Leipzig.jpeg;jpeg;640;427;0.0;Eine geflieste Veranda mit weißen Stühlen und einem Tisch neben einem Haus. Mehrere Topfpflanzen und Blumen schmücken die Terrasse, und ein unbefestigter Hof umgibt das Gelände. Das Haus hat helle Wände und geschlossene Fensterläden.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1390;Sichtmauerwerk-Röhrsdorf.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Sichtmauerwerk-Röhrsdorf.jpeg;jpeg;640;427;0.0;Handwerks- und Bauprojekt Referenz: Sichtmauerwerk, Röhrsdorf - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1389;Putzsanierung-Kirchturm-Zschirla.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Putzsanierung-Kirchturm-Zschirla.jpeg;jpeg;427;640;0.0;Ein hoher Kirchturm mit einem spitzen, dunklen Dach und einer Uhr an der Fassade, teilweise verdeckt von grünen Bäumen unter einem bewölkten Himmel.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1388;Neubau-Eingangstreppe-Klinga.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Neubau-Eingangstreppe-Klinga.jpeg;jpeg;640;427;0.0;Vor einem Gebäudeeingang werden breite Granitstufen eingebaut. Die Stufen sind noch nicht fertiggestellt. Unter den Stufen sind Lücken zu sehen, und auf den Stufen liegen Bauwerkzeuge, darunter eine Wasserwaage. Eine kleine Katze steht in der Nähe des Eingangs.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1387;Klinkerpfeiler-Leipzig.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Klinkerpfeiler-Leipzig.jpeg;jpeg;427;640;0.0;Nahaufnahme eines teilweise errichteten Ziegelpfeilers mit roten Ziegeln und weißem Mörtel, der auf einem Betonsockel steht, um den herum Ziegel und Schutt verstreut sind.;Vorschaubild / Galerie-Detail;Bedingt;Nur in Detailgalerien oder ersetzen durch höher auflösende Originale
1386;Klinkermauerwerk-Kirchfenster-Leipzig.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Klinkermauerwerk-Kirchfenster-Leipzig.jpeg;jpeg;640;427;0.0;Zwei nebeneinander liegende Rundbogenfenster aus rotem Backstein mit einem zentralen Backsteinpfeiler, der in eine helle Wand eingelassen ist. Die Spitzen der Bögen sind spitz zulaufend und erinnern an den gotischen Baustil.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1385;Eingangspflaster-Leipzig.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Eingangspflaster-Leipzig.jpeg;jpeg;640;427;0.0;Ein Hauseingang mit zwei Betonstufen, einer dunkelbraunen Tür und einem gepflasterten Gehweg aus quadratischen und rechteckigen Ziegeln. Auf der linken Seite befindet sich ein Streifen aus hellem Kies, und im Hintergrund sind Baumaterialien zu sehen.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1311;Zaun-Neubau-Burg-Gnandstein.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Zaun-Neubau-Burg-Gnandstein.jpeg;jpeg;640;427;0.0;Ein hölzerner Lattenzaun mit gleichmäßig verteilten vertikalen Latten verläuft entlang einer unbefestigten und geschotterten Fläche, auf der im Hintergrund grüne Bäume und ein Wegweiser zu sehen sind.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1310;Turm-Neubau-Leipzig.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Turm-Neubau-Leipzig.jpeg;jpeg;640;427;0.0;Zwei Arbeiter stehen auf einem Gerüst und montieren oder reparieren eine Holzkonstruktion auf dem Dach eines Gebäudes. Der Himmel ist bedeckt, und auf der linken Seite des Bildes ist eine Kiefer zu sehen.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1309;Ortseingangsschild-Koltzschen.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Ortseingangsschild-Koltzschen.jpeg;jpeg;640;427;0.0;Ein Holzschild mit eingraviertem deutschem Text, das auf einem gelben Holzrahmen montiert ist, steht im Freien in der Nähe eines Zauns und einer Grünanlage im Sonnenlicht. Auf dem Schild steht: Kollitzschen anno 1286. hier klaut der Fuchs die Schuhe. hier hast du deine Ruhe.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
1307;Doppel-Carport-Collmen.jpeg;https://bau-mueller.eu/wp-content/uploads/2022/04/Doppel-Carport-Collmen.jpeg;jpeg;640;427;0.0;Teilweise aufgebauter hölzerner Pergola-Rahmen in einem Hinterhof, mit aufgestellten Balken und Pfosten. Eine Leiter lehnt an einer mit kahlen Ranken bewachsenen Wand, und ein Elektrowerkzeug mit einem roten Kabel liegt auf dem Boden.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
